dates,times,trade_pr,trade_vol,d_vol,trade_amt,b1pr,b1vol,b2pr,b2vol,b3pr,b3vol,b4pr,b4vol,b5pr,b5vol,s1pr,s1vol,s2pr,s2vol,s3pr,s3vol,s4pr,s4vol,s5pr,s5vol,bs
2017-1-3,09:25:03,26.10,122,122,318420,26.02,22,25.65,7,25.63,2,25.60,4,25.51,2,26.10,10,26.15,56,26.19,20,26.20,19,26.22,1,1
2017-1-3,09:30:03,26.02,269,391,702499,25.83,7,25.71,50,25.70,50,25.66,21,25.65,7,26.02,33,26.05,5,26.09,13,26.10,229,26.12,12,-1
2017-1-3,09:30:06,26.02,16,407,41632,25.83,7,25.71,50,25.70,50,25.68,30,25.66,21,26.02,17,26.05,5,26.07,7,26.09,13,26.10,230,1
2017-1-3,09:30:15,26.00,16,423,41600,26.00,384,25.83,7,25.73,50,25.72,30,25.71,50,26.02,30,26.05,5,26.07,7,26.09,43,26.10,230,-1
2017-1-3,09:30:24,26.02,51,474,132722,26.02,8,26.00,384,25.83,7,25.77,30,25.75,50,26.05,5,26.07,7,26.09,23,26.10,230,26.12,12,1
2017-1-3,09:30:27,26.02,3,477,7806,26.02,5,26.00,384,25.83,7,25.77,30,25.75,50,26.05,5,26.07,7,26.09,23,26.10,230,26.12,12,-1
2017-1-3,09:30:30,26.00,8,485,20810,26.00,381,25.89,10,25.83,7,25.77,30,25.75,50,26.05,5,26.07,7,26.09,23,26.10,212,26.12,12,-1
2017-1-3,09:30:33,26.00,1,486,2600,26.00,380,25.89,10,25.83,7,25.77,30,25.75,50,26.02,10,26.05,5,26.07,7,26.09,23,26.10,212,-1
2017-1-3,09:30:36,26.00,2,488,5200,26.00,378,25.89,10,25.83,7,25.77,30,25.76,12,26.02,10,26.05,5,26.07,5,26.09,23,26.10,196,-1
2017-1-3,09:30:39,26.00,100,588,260000,26.00,278,25.89,10,25.83,7,25.77,30,25.76,12,26.02,10,26.05,5,26.07,5,26.09,23,26.10,196,-1
2017-1-3,09:30:42,26.00,50,638,130000,26.00,228,25.89,10,25.83,7,25.77,30,25.76,12,26.02,10,26.05,5,26.07,5,26.09,23,26.10,196,-1
2017-1-3,09:30:45,26.00,50,688,130000,26.00,178,25.89,10,25.83,7,25.77,30,25.76,12,26.02,40,26.05,5,26.07,5,26.09,23,26.10,196,-1
2017-1-3,09:30:48,26.02,50,738,130100,26.02,50,26.00,178,25.89,10,25.83,7,25.77,30,26.05,5,26.07,5,26.09,23,26.10,196,26.12,10,1
2017-1-3,09:30:51,26.02,23,761,59846,26.02,27,26.00,178,25.89,10,25.83,7,25.77,30,26.05,5,26.07,5,26.09,23,26.10,196,26.12,10,-1
2017-1-3,09:30:57,26.09,28,789,73042,26.02,27,26.00,178,25.90,5,25.89,10,25.83,7,26.10,196,26.12,10,26.13,10,26.14,188,26.16,10,1
2017-1-3,09:31:00,26.00,100,889,260054,26.00,105,25.90,5,25.89,10,25.83,13,25.77,30,26.10,196,26.12,10,26.13,10,26.14,188,26.16,10,-1
2017-1-3,09:31:09,26.00,20,909,52000,26.00,185,25.90,55,25.89,10,25.83,13,25.77,30,26.04,50,26.10,196,26.12,10,26.13,10,26.14,188,-1
2017-1-3,09:31:18,26.00,5,914,13000,26.00,181,25.90,5,25.89,10,25.83,13,25.77,30,26.02,3,26.04,50,26.05,1,26.09,13,26.10,196,-1
2017-1-3,09:31:21,26.00,6,920,15600,26.00,175,25.90,5,25.89,10,25.83,13,25.77,30,26.02,3,26.04,57,26.05,1,26.09,13,26.10,196,-1
2017-1-3,09:31:24,26.00,55,975,143000,26.00,120,25.90,5,25.89,10,25.85,50,25.83,13,26.02,13,26.04,57,26.05,1,26.09,13,26.10,191,-1
2017-1-3,09:31:30,26.00,50,1025,130000,26.00,70,25.90,5,25.89,10,25.85,50,25.83,13,26.02,13,26.04,57,26.05,11,26.09,13,26.10,191,-1
2017-1-3,09:31:36,26.00,61,1086,158600,26.00,9,25.90,5,25.89,10,25.85,50,25.83,13,26.02,3,26.04,57,26.05,11,26.09,13,26.10,191,-1
2017-1-3,09:31:39,26.00,11,1097,28604,25.90,5,25.89,10,25.85,50,25.83,13,25.76,12,26.00,40,26.02,21,26.04,7,26.05,11,26.09,13,-1
2017-1-3,09:31:45,25.90,10,1107,25912,25.90,1,25.89,10,25.85,80,25.83,13,25.76,12,26.00,44,26.02,21,26.04,7,26.05,11,26.09,13,-1
2017-1-3,09:31:57,25.90,55,1162,142550,25.90,46,25.89,10,25.85,30,25.83,13,25.76,12,25.99,20,26.00,65,26.02,21,26.04,7,26.05,11,-1
2017-1-3,09:32:18,25.76,108,1270,279304,25.66,12,25.65,57,25.64,10,25.63,11,25.61,3,25.76,123,25.99,14,26.00,160,26.02,1,26.04,7,-1
2017-1-3,09:32:21,25.76,50,1320,128800,25.66,12,25.65,57,25.64,10,25.63,11,25.61,3,25.76,73,25.99,18,26.00,160,26.02,1,26.04,7,1
2017-1-3,09:32:24,25.76,53,1373,136528,25.66,12,25.65,57,25.64,10,25.63,11,25.61,3,25.76,20,25.97,50,25.99,18,26.00,160,26.02,1,1
2017-1-3,09:32:27,25.76,21,1394,53375,25.66,12,25.65,57,25.64,10,25.63,11,25.61,3,25.97,50,25.99,18,26.00,160,26.02,1,26.04,7,1
2017-1-3,09:32:48,25.92,50,1444,129600,25.76,27,25.67,35,25.66,12,25.65,58,25.64,10,25.95,19,25.97,50,25.99,4,26.00,60,26.02,1,1
2017-1-3,09:32:54,25.95,6,1450,15570,25.76,34,25.67,35,25.66,12,25.65,58,25.64,12,25.95,13,25.97,50,25.99,4,26.00,60,26.02,7,1
2017-1-3,09:33:24,25.95,4,1454,10380,25.90,100,25.80,5,25.76,48,25.68,5,25.67,30,25.95,19,25.97,50,25.99,4,26.00,76,26.02,7,1
2017-1-3,09:33:27,25.90,103,1557,266770,25.80,5,25.76,48,25.68,5,25.67,30,25.66,12,25.90,21,25.95,19,25.97,50,25.99,4,26.00,76,-1
2017-1-3,09:34:03,25.80,5,1562,12900,25.78,2,25.77,10,25.76,48,25.71,50,25.70,494,25.89,52,25.90,30,25.95,19,25.99,4,26.00,76,-1
2017-1-3,09:34:09,25.89,5,1567,12945,25.78,2,25.77,10,25.76,48,25.71,56,25.70,494,25.88,5,25.89,47,25.90,30,25.95,19,25.99,4,1
2017-1-3,09:34:24,25.88,2,1569,5176,25.78,6,25.77,114,25.76,53,25.71,56,25.70,494,25.88,3,25.89,47,25.90,30,25.95,10,25.99,4,1
2017-1-3,09:34:30,25.86,10,1579,25860,25.86,90,25.78,6,25.77,114,25.76,43,25.71,56,25.88,3,25.89,54,25.90,30,25.95,10,25.99,4,-1
2017-1-3,09:34:36,25.86,20,1599,51720,25.86,70,25.78,6,25.77,114,25.76,43,25.71,56,25.88,3,25.89,9,25.90,30,25.95,10,25.99,4,-1
2017-1-3,09:34:45,25.86,3,1602,7758,25.86,67,25.79,6,25.78,6,25.77,114,25.76,43,25.88,3,25.89,9,25.90,30,25.95,10,25.99,4,-1
2017-1-3,09:34:51,25.86,50,1652,129310,25.86,27,25.79,6,25.78,6,25.77,114,25.76,43,25.88,3,25.89,9,25.90,30,25.95,10,25.99,4,-1
2017-1-3,09:35:00,25.86,20,1672,51720,25.86,7,25.79,6,25.78,64,25.77,114,25.76,43,25.88,3,25.89,9,25.90,30,25.95,10,25.99,4,-1
2017-1-3,09:35:03,25.86,7,1679,18102,25.79,6,25.78,64,25.77,114,25.76,43,25.71,56,25.86,13,25.88,5,25.89,9,25.90,30,25.95,10,-1
2017-1-3,09:35:18,25.78,45,1724,116016,25.78,29,25.77,114,25.76,43,25.71,56,25.70,494,25.86,63,25.88,5,25.89,9,25.90,30,25.95,10,-1
2017-1-3,09:35:48,25.80,34,1758,87720,25.80,84,25.79,55,25.78,71,25.77,104,25.76,43,25.86,73,25.88,5,25.89,9,25.90,30,25.95,10,-1
2017-1-3,09:36:21,25.86,10,1768,25860,25.80,84,25.79,55,25.78,130,25.77,104,25.76,38,25.86,63,25.88,5,25.89,7,25.90,30,25.95,10,1
2017-1-3,09:36:33,25.86,2,1770,5172,25.80,84,25.79,55,25.78,130,25.77,104,25.76,38,25.86,61,25.88,5,25.89,7,25.90,30,25.95,10,1
2017-1-3,09:36:42,25.81,1,1771,2581,25.81,1,25.80,84,25.79,55,25.78,130,25.77,104,25.86,62,25.88,5,25.89,7,25.90,30,25.95,10,-1
2017-1-3,09:37:03,25.81,4,1775,10324,25.81,26,25.80,84,25.79,55,25.78,130,25.77,104,25.86,62,25.88,5,25.89,7,25.90,30,25.95,10,-1
2017-1-3,09:37:09,25.80,119,1894,307082,25.79,55,25.78,130,25.77,104,25.76,38,25.71,6,25.80,123,25.86,56,25.88,5,25.89,7,25.90,30,-1
2017-1-3,09:37:30,25.80,3,1897,7740,25.79,55,25.78,79,25.77,104,25.76,38,25.71,6,25.80,120,25.86,56,25.88,5,25.89,7,25.90,30,1
2017-1-3,09:37:33,25.79,2,1899,5158,25.79,53,25.78,79,25.77,104,25.76,38,25.71,6,25.80,120,25.86,56,25.88,5,25.89,7,25.90,30,-1
2017-1-3,09:37:36,25.80,51,1950,131580,25.79,53,25.78,82,25.77,104,25.76,38,25.71,6,25.80,69,25.86,56,25.88,5,25.89,7,25.90,30,1
2017-1-3,09:37:57,25.80,2,1952,5160,25.79,53,25.78,92,25.77,104,25.76,38,25.71,6,25.80,73,25.86,56,25.88,5,25.89,7,25.90,30,1
2017-1-3,09:38:03,25.80,1,1953,2580,25.79,58,25.78,92,25.77,104,25.76,38,25.71,6,25.80,72,25.86,56,25.88,5,25.89,7,25.90,30,1
2017-1-3,09:38:06,25.80,1,1954,2580,25.79,58,25.78,92,25.77,104,25.76,38,25.71,6,25.80,71,25.86,66,25.88,5,25.89,7,25.90,30,1
2017-1-3,09:38:15,25.80,5,1959,12900,25.79,58,25.78,300,25.77,104,25.76,38,25.71,6,25.80,188,25.86,66,25.88,5,25.89,7,25.90,30,1
2017-1-3,09:38:18,25.80,1,1960,2580,25.79,58,25.78,300,25.77,104,25.76,38,25.71,6,25.80,193,25.86,66,25.88,5,25.89,7,25.90,30,1
