time,trade_pr,trade_vol,d_vol,amt,b1pr,b1vol,b2pr,b2vol,b3pr,b3vol,b4pr,b4vol,b5pr,b5vol,s1pr,s1vol,s2pr,s2vol,s3pr,s3vol,s4pr,s4vol,s5pr,s5vol,bs
2017-1-19 09:25:03,11.07,795,795,880065,11.06,103,11.05,496,11.03,208,11.02,535,11.01,232,11.07,354,11.08,283,11.12,4,11.13,100,11.14,8,1
2017-1-19 09:30:03,11.06,800,1595,884980,11.06,51,11.05,461,11.03,466,11.02,652,11.01,885,11.07,117,11.08,281,11.11,53,11.12,165,11.13,54,-1
2017-1-19 09:30:06,11.06,242,1837,267722,11.06,56,11.05,456,11.03,466,11.02,657,11.01,944,11.07,22,11.08,281,11.11,53,11.12,165,11.13,63,-1
2017-1-19 09:30:09,11.06,28,1865,30968,11.06,28,11.05,456,11.03,466,11.02,657,11.01,944,11.07,52,11.08,281,11.11,53,11.12,165,11.13,83,-1
2017-1-19 09:30:12,11.07,22,1887,24354,11.06,31,11.05,456,11.03,486,11.02,657,11.01,944,11.07,30,11.08,281,11.11,53,11.12,165,11.13,83,1
2017-1-19 09:30:15,11.07,8,1895,8856,11.06,41,11.05,456,11.03,486,11.02,737,11.01,944,11.07,74,11.08,281,11.11,53,11.12,165,11.13,83,1
2017-1-19 09:30:18,11.06,51,1946,56406,11.05,456,11.03,486,11.02,737,11.01,949,11.00,1165,11.06,85,11.07,74,11.08,34,11.11,53,11.12,165,-1
2017-1-19 09:30:21,11.06,4,1950,4424,11.05,456,11.03,486,11.02,737,11.01,949,11.00,1165,11.06,81,11.07,86,11.08,34,11.10,41,11.11,53,1
2017-1-19 09:30:24,11.06,327,2277,361415,11.05,213,11.03,486,11.02,737,11.01,949,11.00,1165,11.06,19,11.07,86,11.08,34,11.10,41,11.11,53,1
2017-1-19 09:30:30,11.06,78,2355,86268,11.06,105,11.05,213,11.03,486,11.02,737,11.01,949,11.07,96,11.08,34,11.10,41,11.11,53,11.12,165,1
2017-1-19 09:30:33,11.06,56,2411,61936,11.06,120,11.05,213,11.03,486,11.02,737,11.01,949,11.07,96,11.08,34,11.10,41,11.11,53,11.12,165,-1
2017-1-19 09:30:36,11.06,62,2473,68604,11.06,117,11.05,213,11.04,200,11.03,486,11.02,737,11.07,64,11.08,34,11.10,41,11.11,53,11.12,165,-1
2017-1-19 09:30:39,11.07,32,2505,35410,11.06,92,11.05,213,11.04,200,11.03,486,11.02,737,11.07,46,11.08,34,11.10,41,11.11,53,11.12,165,1
2017-1-19 09:30:42,11.06,34,2539,37604,11.06,75,11.05,213,11.04,200,11.03,524,11.02,737,11.07,46,11.08,34,11.10,41,11.11,53,11.12,165,-1
2017-1-19 09:30:45,11.07,85,2624,94038,11.06,18,11.05,213,11.04,200,11.03,524,11.02,737,11.07,25,11.08,34,11.10,41,11.11,53,11.12,165,1
2017-1-19 09:30:48,11.06,65,2689,71924,11.06,343,11.05,214,11.04,200,11.03,524,11.02,737,11.08,29,11.10,41,11.11,130,11.12,165,11.13,103,-1
2017-1-19 09:30:51,11.06,19,2708,21014,11.07,26,11.06,328,11.05,210,11.04,200,11.03,664,11.08,29,11.10,41,11.11,130,11.12,165,11.13,103,-1
2017-1-19 09:30:54,11.06,56,2764,61962,11.07,9,11.06,352,11.05,210,11.04,200,11.03,664,11.08,29,11.10,41,11.11,130,11.12,165,11.13,103,-1
2017-1-19 09:30:57,11.08,7,2771,7756,11.07,39,11.06,357,11.05,210,11.04,200,11.03,664,11.08,22,11.10,41,11.11,130,11.12,165,11.13,103,1
2017-1-19 09:31:00,11.07,75,2846,83020,11.06,422,11.05,210,11.04,200,11.03,664,11.02,749,11.07,242,11.08,110,11.10,41,11.11,130,11.12,165,-1
2017-1-19 09:31:03,11.07,140,2986,154980,11.06,461,11.05,210,11.04,298,11.03,664,11.02,753,11.07,126,11.08,110,11.10,41,11.11,130,11.12,165,1
2017-1-19 09:31:06,11.06,65,3051,71935,11.06,536,11.05,222,11.04,298,11.03,664,11.02,753,11.07,125,11.08,110,11.10,41,11.11,130,11.12,165,-1
2017-1-19 09:31:09,11.06,16,3067,17701,11.06,525,11.05,222,11.04,298,11.03,680,11.02,753,11.07,120,11.08,100,11.10,66,11.11,130,11.12,165,-1
2017-1-19 09:31:12,11.07,334,3401,369530,11.06,327,11.05,222,11.04,298,11.03,680,11.02,753,11.07,83,11.08,100,11.10,66,11.11,130,11.12,165,1
2017-1-19 09:31:15,11.06,20,3421,22130,11.06,384,11.05,222,11.04,348,11.03,680,11.02,753,11.07,73,11.08,100,11.10,71,11.11,130,11.12,165,-1
2017-1-19 09:31:18,11.07,365,3786,403711,11.06,57,11.05,202,11.04,348,11.03,680,11.02,768,11.07,52,11.08,100,11.10,131,11.11,130,11.12,165,1
2017-1-19 09:31:24,11.07,11,3797,12167,11.06,56,11.05,202,11.04,348,11.03,680,11.02,768,11.07,57,11.08,100,11.10,131,11.11,130,11.12,165,1
2017-1-19 09:31:27,11.06,4,3801,4425,11.06,63,11.05,202,11.04,348,11.03,680,11.02,768,11.07,76,11.08,100,11.10,131,11.11,130,11.12,165,-1
2017-1-19 09:31:30,11.06,108,3909,119456,11.05,212,11.04,348,11.03,680,11.02,768,11.01,1011,11.06,8,11.07,71,11.08,100,11.10,131,11.11,130,-1
2017-1-19 09:31:33,11.07,35,3944,38722,11.06,20,11.05,236,11.04,348,11.03,668,11.02,768,11.07,55,11.08,100,11.10,131,11.11,130,11.12,165,1
2017-1-19 09:31:36,11.06,36,3980,39816,11.06,184,11.05,236,11.04,348,11.03,668,11.02,768,11.07,63,11.08,100,11.10,131,11.11,130,11.12,165,-1
2017-1-19 09:31:39,11.06,69,4049,76374,11.06,185,11.05,236,11.04,348,11.03,668,11.02,768,11.07,3,11.08,100,11.10,131,11.11,130,11.12,165,-1
2017-1-19 09:31:42,11.07,30,4079,33052,11.07,6,11.06,169,11.05,236,11.04,348,11.03,568,11.08,100,11.10,131,11.11,130,11.12,165,11.13,100,1
2017-1-19 09:31:45,11.06,59,4138,65264,11.06,123,11.05,296,11.04,348,11.03,563,11.02,718,11.08,100,11.10,131,11.11,130,11.12,165,11.13,100,-1
2017-1-19 09:31:48,11.06,84,4222,92926,11.06,97,11.05,292,11.04,348,11.03,563,11.02,718,11.07,15,11.08,99,11.10,131,11.11,130,11.12,165,-1
2017-1-19 09:31:51,11.06,106,4328,117286,11.06,112,11.05,292,11.04,348,11.03,563,11.02,718,11.08,99,11.10,131,11.11,130,11.12,165,11.13,100,-1
2017-1-19 09:31:54,11.08,27,4355,29866,11.07,34,11.06,150,11.05,302,11.04,348,11.03,563,11.08,97,11.10,131,11.11,130,11.12,165,11.13,100,1
2017-1-19 09:31:57,11.07,29,4384,32103,11.07,9,11.06,250,11.05,302,11.04,348,11.03,573,11.08,105,11.10,131,11.11,130,11.12,165,11.13,100,-1
2017-1-19 09:32:03,11.07,15,4399,16605,11.07,138,11.06,205,11.05,302,11.04,348,11.03,582,11.08,105,11.10,131,11.11,130,11.12,165,11.13,100,-1
2017-1-19 09:32:06,11.07,10,4409,11070,11.07,128,11.06,205,11.05,302,11.04,348,11.03,582,11.08,105,11.10,131,11.11,130,11.12,165,11.13,100,-1
2017-1-19 09:32:09,11.07,132,4541,146124,11.06,205,11.05,302,11.04,348,11.03,582,11.02,638,11.07,185,11.08,105,11.10,131,11.11,130,11.12,165,-1
2017-1-19 09:32:12,11.07,56,4597,61992,11.06,207,11.05,302,11.04,348,11.03,582,11.02,638,11.07,129,11.08,114,11.10,90,11.11,130,11.12,165,1
2017-1-19 09:32:15,11.07,100,4697,110700,11.06,318,11.05,302,11.04,348,11.03,582,11.02,638,11.07,41,11.08,114,11.10,90,11.11,130,11.12,165,1
2017-1-19 09:32:18,11.07,10,4707,11070,11.06,318,11.05,313,11.04,348,11.03,582,11.02,638,11.07,37,11.08,114,11.10,90,11.11,130,11.12,165,1
2017-1-19 09:32:21,11.07,17,4724,18809,11.06,297,11.05,313,11.04,348,11.03,582,11.02,638,11.07,30,11.08,114,11.10,90,11.11,130,11.12,165,1
2017-1-19 09:32:24,11.07,60,4784,66420,11.07,23,11.06,337,11.05,313,11.04,355,11.03,582,11.08,26,11.10,90,11.11,130,11.12,165,11.13,100,1
2017-1-19 09:32:27,11.05,397,5181,439078,11.06,50,11.05,265,11.04,355,11.03,582,11.02,639,11.07,41,11.08,26,11.10,90,11.11,130,11.12,165,-1
2017-1-19 09:32:30,11.07,26,5207,28782,11.06,65,11.05,466,11.04,355,11.03,582,11.02,639,11.07,28,11.08,26,11.10,90,11.11,130,11.12,165,1
